timestam,TP9,AF7,AF8,TP10,AUX,Marker
3.00390625,-47.36328125,-27.34375,-61.03515625,-27.83203125,-60.546875,0.0
3.0078125,-43.45703125,-30.2734375,-50.78125,-37.59765625,-92.7734375,0.0
3.01171875,-48.33984375,-41.9921875,-29.296875,-55.17578125,-31.25,0.0
3.015625,-62.5,-44.921875,-31.73828125,-41.9921875,23.92578125,0.0
3.01953125,-50.29296875,-44.43359375,-37.59765625,-31.73828125,25.87890625,0.0
3.0234375,-32.71484375,-34.66796875,-27.83203125,-23.4375,-20.99609375,0.0
3.02734375,-32.71484375,-27.34375,-30.76171875,-24.4140625,-38.57421875,0.0
3.03125,-24.4140625,-37.59765625,-45.8984375,-46.38671875,-26.3671875,0.0
3.03515625,-37.109375,-37.109375,-36.62109375,-42.96875,-14.16015625,0.0
3.0390625,-53.7109375,-33.69140625,-24.4140625,-43.45703125,-18.06640625,0.0
3.04296875,-47.36328125,-35.15625,-40.0390625,-59.5703125,44.921875,0.0
3.046875,-36.62109375,-42.48046875,-52.24609375,-48.828125,55.6640625,0.0
3.05078125,-26.3671875,-38.0859375,-22.4609375,-33.69140625,-59.08203125,0.0
3.0546875,-31.73828125,-31.25,-5.37109375,-23.92578125,-190.91796875,0.0
3.05859375,-41.50390625,-40.0390625,-44.43359375,-38.57421875,-196.77734375,0.0
3.0625,-15.625,-40.0390625,-59.08203125,-49.8046875,-65.4296875,0.0
3.06640625,8.7890625,-42.96875,-47.8515625,-61.5234375,-75.1953125,0.0
3.0703125,-15.625,-40.52734375,-43.45703125,-55.6640625,-72.75390625,0.0
3.07421875,-24.4140625,-36.1328125,-37.109375,-30.76171875,-58.59375,0.0
3.078125,-24.90234375,-36.62109375,-29.296875,-28.3203125,-97.65625,0.0
3.08203125,-24.90234375,-22.4609375,-12.20703125,-18.5546875,-82.51953125,0.0
3.0859375,-16.11328125,-20.99609375,-19.04296875,-25.390625,1.46484375,0.0
3.08984375,-25.390625,-38.57421875,-42.48046875,-36.1328125,-0.9765625,0.0
3.09375,-35.15625,-36.1328125,-38.57421875,-38.57421875,-41.50390625,0.0
3.09765625,-23.4375,-28.3203125,-11.23046875,-27.83203125,23.92578125,0.0
3.1015625,-25.87890625,-37.59765625,-21.484375,-34.66796875,42.48046875,0.0
3.10546875,-28.3203125,-42.96875,-40.52734375,-54.6875,33.69140625,0.0
3.109375,-19.04296875,-40.0390625,-43.45703125,-46.38671875,64.94140625,0.0
3.11328125,-20.01953125,-39.55078125,-42.96875,-32.71484375,37.59765625,0.0
3.1171875,-18.06640625,-33.203125,-40.0390625,-32.71484375,-54.6875,0.0
3.12109375,-27.34375,-35.15625,-34.66796875,-29.78515625,-79.58984375,0.0
3.125,-15.13671875,-43.45703125,-18.5546875,-16.11328125,23.92578125,0.0
3.12890625,-5.859375,-35.15625,-12.20703125,-8.30078125,-6.8359375,0.0
3.1328125,-14.16015625,-32.71484375,-29.296875,-25.87890625,14.16015625,0.0
3.13671875,-25.390625,-39.0625,-31.25,-30.76171875,72.265625,0.0
3.140625,-33.69140625,-28.80859375,-26.3671875,-42.48046875,-58.59375,0.0
3.14453125,-34.1796875,-25.390625,-32.71484375,-45.41015625,-91.30859375,0.0
3.1484375,-29.296875,-26.85546875,-42.48046875,-35.15625,-71.77734375,0.0
3.15234375,-13.18359375,-29.78515625,-43.9453125,-17.578125,-159.66796875,0.0
3.15625,-12.6953125,-37.109375,-29.78515625,-24.4140625,-83.984375,0.0
3.16015625,-30.2734375,-30.76171875,-28.80859375,-41.50390625,-2.9296875,0.0
3.1640625,-35.64453125,-26.85546875,-33.203125,-33.69140625,-36.62109375,0.0
3.16796875,-21.484375,-26.85546875,-26.85546875,-33.69140625,-13.18359375,0.0
3.171875,-21.484375,-23.4375,-16.6015625,-33.69140625,-75.68359375,0.0
3.17578125,-31.25,-18.5546875,-24.90234375,-27.83203125,-111.328125,0.0
3.1796875,-22.4609375,-16.6015625,-32.2265625,-29.78515625,-52.734375,0.0
3.18359375,-20.99609375,-30.2734375,-39.55078125,-31.25,-12.6953125,0.0
3.1875,-24.4140625,-36.1328125,-37.59765625,-28.80859375,-55.6640625,0.0
3.19140625,-21.97265625,-29.296875,-29.78515625,-21.97265625,-76.66015625,0.0
3.1953125,-26.85546875,-26.3671875,-28.80859375,-19.53125,-42.48046875,0.0
3.19921875,-25.87890625,-30.76171875,-26.85546875,-31.25,-45.8984375,0.0
3.203125,-18.5546875,-34.66796875,-37.109375,-34.1796875,-84.9609375,0.0
3.20703125,-24.90234375,-34.66796875,-46.38671875,-37.109375,-104.4921875,0.0
3.2109375,-31.25,-33.203125,-44.43359375,-41.50390625,-73.73046875,0.0
