timestam,TP9,AF7,AF8,TP10,AUX,Marker
339.00390625,-20.01953125,-19.04296875,-34.1796875,-27.34375,137.20703125,0.0
339.0078125,-31.73828125,-19.04296875,-34.1796875,-22.94921875,124.0234375,0.0
339.01171875,-43.45703125,-24.4140625,-38.0859375,-23.4375,50.78125,0.0
339.015625,-41.9921875,-24.4140625,-36.1328125,-36.1328125,-7.8125,0.0
339.01953125,-22.4609375,-26.85546875,-35.15625,-43.9453125,-52.24609375,0.0
339.0234375,-20.5078125,-28.3203125,-35.15625,-37.109375,-88.37890625,0.0
339.02734375,-40.52734375,-27.83203125,-30.76171875,-33.203125,-90.33203125,0.0
339.03125,-51.26953125,-31.73828125,-36.62109375,-30.2734375,-59.08203125,0.0
339.03515625,-38.0859375,-26.3671875,-36.62109375,-27.83203125,-81.54296875,0.0
339.0390625,-21.484375,-18.06640625,-23.92578125,-30.2734375,-138.18359375,0.0
339.04296875,-16.11328125,-17.578125,-23.4375,-24.90234375,-63.96484375,0.0
339.046875,-31.73828125,-26.3671875,-26.85546875,-21.484375,-54.19921875,0.0
339.05078125,-48.828125,-31.73828125,-35.15625,-31.25,-113.76953125,0.0
339.0546875,-33.203125,-18.06640625,-32.2265625,-30.2734375,-113.28125,0.0
339.05859375,-12.20703125,-14.16015625,-28.80859375,-24.4140625,-206.54296875,0.0
339.0625,-10.7421875,-22.94921875,-34.1796875,-26.85546875,-122.0703125,0.0
339.06640625,-26.3671875,-30.76171875,-33.203125,-29.296875,20.5078125,0.0
339.0703125,-46.875,-32.71484375,-24.4140625,-29.78515625,-55.6640625,0.0
339.07421875,-39.0625,-33.69140625,-20.99609375,-33.203125,-56.15234375,0.0
339.078125,-18.06640625,-34.1796875,-28.80859375,-33.203125,47.36328125,0.0
339.08203125,-13.18359375,-30.2734375,-31.73828125,-34.66796875,70.80078125,0.0
339.0859375,-33.69140625,-29.296875,-28.3203125,-37.109375,31.73828125,0.0
339.08984375,-55.17578125,-31.25,-27.83203125,-40.52734375,46.875,0.0
339.09375,-49.31640625,-34.1796875,-32.71484375,-46.875,62.98828125,0.0
339.09765625,-32.71484375,-37.109375,-30.76171875,-49.31640625,10.7421875,0.0
339.1015625,-27.83203125,-42.48046875,-28.80859375,-50.29296875,-51.26953125,0.0
339.10546875,-37.109375,-46.38671875,-32.71484375,-45.8984375,-10.25390625,0.0
339.109375,-61.03515625,-48.33984375,-46.875,-46.875,48.828125,0.0
339.11328125,-58.10546875,-41.015625,-45.8984375,-52.24609375,22.94921875,0.0
339.1171875,-28.80859375,-29.296875,-40.52734375,-51.26953125,-43.9453125,0.0
339.12109375,-20.5078125,-25.390625,-41.9921875,-45.41015625,-100.5859375,0.0
339.125,-33.69140625,-30.76171875,-40.52734375,-39.55078125,-55.6640625,0.0
339.12890625,-48.828125,-29.78515625,-38.0859375,-36.1328125,80.078125,0.0
339.1328125,-46.875,-24.4140625,-27.83203125,-33.69140625,50.29296875,0.0
339.13671875,-35.64453125,-30.76171875,-30.2734375,-41.015625,-69.3359375,0.0
339.140625,-21.484375,-29.296875,-42.48046875,-41.015625,-41.50390625,0.0
339.14453125,-21.484375,-26.3671875,-41.015625,-33.69140625,-10.7421875,0.0
339.1484375,-40.52734375,-31.73828125,-37.109375,-32.2265625,-20.99609375,0.0
339.15234375,-49.31640625,-34.66796875,-39.0625,-34.66796875,25.390625,0.0
